,t,Uz,U,I
1,2e-07,-2.64,-0.07200000000000001,0.0007221664994984955
2,4e-07,-4.12,-0.008,8.02407221664995e-05
3,6e-07,-4.04,-0.008,8.02407221664995e-05
4,8e-07,-4.04,-0.008,8.02407221664995e-05
5,1e-06,-3.96,-0.018000000000000002,0.00018054162487462388
6,1.2e-06,-3.96,-0.02,0.00020060180541624874
7,1.4e-06,-3.96,-0.022,0.0002206619859578736
8,1.6e-06,-3.92,-0.028,0.0002808425275827482
9,1.8000000000000001e-06,-3.92,-0.032,0.000320962888665998
10,2e-06,-3.92,-0.034,0.0003410230692076229
11,2.1999999999999997e-06,-3.92,-0.038,0.0003811434302908726
12,2.4e-06,-3.88,-0.042,0.0004212637913741224
13,2.6e-06,-3.88,-0.046,0.0004613841524573721
14,2.8e-06,-3.92,-0.05,0.0005015045135406219
15,3e-06,-3.88,-0.052000000000000005,0.0005215646940822467
16,3.2e-06,-3.84,-0.056,0.0005616850551654964
17,3.4e-06,-3.84,-0.06,0.0006018054162487462
18,3.6000000000000003e-06,-3.84,-0.064,0.000641925777331996
19,3.8e-06,-3.84,-0.066,0.0006619859578736208
20,4e-06,-3.84,-0.07,0.0007021063189568707
21,4.2000000000000004e-06,-3.8000000000000003,-0.074,0.0007422266800401203
22,4.399999999999999e-06,-3.8000000000000003,-0.076,0.0007622868605817452
23,4.6e-06,-3.7600000000000002,-0.078,0.0007823470411233701
24,4.8e-06,-3.8000000000000003,-0.082,0.0008224674022066199
25,5e-06,-3.7600000000000002,-0.082,0.0008224674022066199
26,5.2e-06,-3.7600000000000002,-0.088,0.0008826479438314944
27,5.4e-06,-3.7600000000000002,-0.09,0.0009027081243731193
28,5.6e-06,-3.7600000000000002,-0.094,0.000942828485456369
29,5.8e-06,-3.7600000000000002,-0.096,0.000962888665997994
30,6e-06,-3.7600000000000002,-0.098,0.0009829488465396188
31,6.2e-06,-3.7600000000000002,-0.1,0.0010030090270812437
32,6.4e-06,-3.7600000000000002,-0.10400000000000001,0.0010431293881644934
33,6.6e-06,-3.7600000000000002,-0.106,0.0010631895687061182
34,6.8e-06,-3.7600000000000002,-0.108,0.0010832497492477432
35,7.000000000000001e-06,-3.72,-0.11,0.0011033099297893681
36,7.2000000000000005e-06,-3.72,-0.114,0.0011434302908726178
37,7.3999999999999995e-06,-3.7600000000000002,-0.114,0.0011434302908726178
38,7.6e-06,-3.72,-0.11800000000000001,0.0011835506519558676
39,7.8e-06,-3.72,-0.12,0.0012036108324974923
40,8e-06,-3.72,-0.12,0.0012036108324974923
41,8.200000000000001e-06,-3.72,-0.122,0.0012236710130391173
42,8.400000000000001e-06,-3.72,-0.122,0.0012236710130391173
43,8.6e-06,-3.72,-0.126,0.001263791374122367
44,8.799999999999999e-06,-3.72,-0.128,0.001283851554663992
45,9e-06,-3.72,-0.128,0.001283851554663992
46,9.2e-06,-3.72,-0.13,0.001303911735205617
47,9.4e-06,-3.72,-0.13,0.001303911735205617
48,9.6e-06,-3.72,-0.13,0.001303911735205617
49,9.800000000000001e-06,-3.72,-0.134,0.0013440320962888666
50,1e-05,-3.68,-0.132,0.0013239719157472417
51,1.02e-05,-3.68,-0.134,0.0013440320962888666
52,1.04e-05,-3.68,-0.136,0.0013640922768304916
53,1.06e-05,-3.64,-0.136,0.0013640922768304916
54,1.08e-05,-3.68,-0.136,0.0013640922768304916
55,1.1e-05,-3.68,-0.138,0.0013841524573721163
56,1.12e-05,-3.64,-0.138,0.0013841524573721163
57,1.1400000000000001e-05,-3.64,-0.138,0.0013841524573721163
58,1.16e-05,-3.68,-0.138,0.0013841524573721163
59,1.18e-05,-3.64,-0.138,0.0013841524573721163
60,1.2e-05,-3.68,-0.138,0.0013841524573721163
61,1.22e-05,-3.68,-0.136,0.0013640922768304916
62,1.24e-05,-3.64,-0.138,0.0013841524573721163
63,1.26e-05,-3.64,-0.138,0.0013841524573721163
64,1.28e-05,-3.64,-0.136,0.0013640922768304916
65,1.3000000000000001e-05,-3.64,-0.136,0.0013640922768304916
66,1.32e-05,-3.64,-0.136,0.0013640922768304916
67,1.34e-05,-3.68,-0.136,0.0013640922768304916
68,1.36e-05,-3.64,-0.134,0.0013440320962888666
69,1.3800000000000002e-05,-3.64,-0.134,0.0013440320962888666
70,1.4000000000000001e-05,-3.68,-0.132,0.0013239719157472417
71,1.4200000000000001e-05,-3.64,-0.13,0.001303911735205617
72,1.4400000000000001e-05,-3.64,-0.132,0.0013239719157472417
73,1.4599999999999999e-05,-3.64,-0.13,0.001303911735205617
74,1.4799999999999999e-05,-3.64,-0.128,0.001283851554663992
75,1.4999999999999999e-05,-3.64,-0.126,0.001263791374122367
76,1.52e-05,-3.64,-0.126,0.001263791374122367
77,1.5399999999999998e-05,-3.64,-0.124,0.0012437311935807422
78,1.56e-05,-3.64,-0.122,0.0012236710130391173
79,1.58e-05,-3.64,-0.122,0.0012236710130391173
80,1.6e-05,-3.64,-0.11800000000000001,0.0011835506519558676
81,1.62e-05,-3.68,-0.116,0.0011634904714142428
82,1.6400000000000002e-05,-3.64,-0.114,0.0011434302908726178
83,1.66e-05,-3.64,-0.114,0.0011434302908726178
84,1.6800000000000002e-05,-3.68,-0.112,0.0011233701103309929
85,1.7e-05,-3.64,-0.108,0.0010832497492477432
86,1.72e-05,-3.64,-0.106,0.0010631895687061182
87,1.7400000000000003e-05,-3.64,-0.106,0.0010631895687061182
88,1.7599999999999998e-05,-3.68,-0.10200000000000001,0.0010230692076228687
89,1.78e-05,-3.64,-0.1,0.0010030090270812437
90,1.8e-05,-3.68,-0.096,0.000962888665997994
91,1.82e-05,-3.68,-0.094,0.000942828485456369
92,1.84e-05,-3.64,-0.092,0.0009227683049147442
93,1.86e-05,-3.68,-0.09,0.0009027081243731193
94,1.88e-05,-3.68,-0.088,0.0008826479438314944
95,1.9e-05,-3.64,-0.082,0.0008224674022066199
96,1.92e-05,-3.64,-0.082,0.0008224674022066199
97,1.94e-05,-3.64,-0.078,0.0007823470411233701
98,1.9600000000000002e-05,-3.68,-0.076,0.0007622868605817452
99,1.98e-05,-3.72,-0.074,0.0007422266800401203
100,2e-05,-3.72,-0.07,0.0007021063189568707
101,2.02e-05,-3.68,-0.066,0.0006619859578736208
102,2.04e-05,-3.68,-0.064,0.000641925777331996
103,2.0600000000000003e-05,-3.68,-0.062,0.0006218655967903711
104,2.08e-05,-3.68,-0.058,0.0005817452357071214
105,2.1e-05,-3.72,-0.054,0.0005416248746238716
106,2.12e-05,-3.68,-0.05,0.0005015045135406219
107,2.14e-05,-3.68,-0.048,0.000481444332998997
108,2.16e-05,-3.68,-0.044,0.0004413239719157472
