Datum,Cas,Data
01.01.2022,00:00:00,108
01.01.2022,00:15:00,109.2
01.01.2022,00:30:00,111.2
01.01.2022,00:45:00,111.6
01.01.2022,01:00:00,111.2
01.01.2022,01:15:00,111.2
01.01.2022,01:30:00,110
01.01.2022,01:45:00,111.2
01.01.2022,02:00:00,109.6
01.01.2022,02:15:00,107.6
01.01.2022,02:30:00,109.2
01.01.2022,02:45:00,108
01.01.2022,03:00:00,110.8
01.01.2022,03:15:00,111.6
01.01.2022,03:30:00,111.6
01.01.2022,03:45:00,116
01.01.2022,04:00:00,122.4
01.01.2022,04:15:00,122.8
01.01.2022,04:30:00,120.8
01.01.2022,04:45:00,117.6
01.01.2022,05:00:00,120.4
01.01.2022,05:15:00,118.4
01.01.2022,05:30:00,118.8
01.01.2022,05:45:00,122.4
01.01.2022,06:00:00,114.8
01.01.2022,06:15:00,109.6
01.01.2022,06:30:00,112.8
01.01.2022,06:45:00,110.4
01.01.2022,07:00:00,114.8
01.01.2022,07:15:00,111.6
01.01.2022,07:30:00,110.4
01.01.2022,07:45:00,110.4
01.01.2022,08:00:00,109.6
01.01.2022,08:15:00,107.6
01.01.2022,08:30:00,106.8
01.01.2022,08:45:00,108.4
01.01.2022,09:00:00,108
01.01.2022,09:15:00,110
01.01.2022,09:30:00,110.4
01.01.2022,09:45:00,107.6
01.01.2022,10:00:00,110
01.01.2022,10:15:00,112.4
01.01.2022,10:30:00,110.4
01.01.2022,10:45:00,109.2
01.01.2022,11:00:00,107.2
01.01.2022,11:15:00,107.6
01.01.2022,11:30:00,106.4
01.01.2022,11:45:00,107.2
01.01.2022,12:00:00,109.2
01.01.2022,12:15:00,108
01.01.2022,12:30:00,109.6
01.01.2022,12:45:00,110.4
01.01.2022,13:00:00,110
01.01.2022,13:15:00,109.6
01.01.2022,13:30:00,107.2
01.01.2022,13:45:00,108.4
01.01.2022,14:00:00,104.4
01.01.2022,14:15:00,109.6
01.01.2022,14:30:00,107.6
01.01.2022,14:45:00,108.4
01.01.2022,15:00:00,116.4
01.01.2022,15:15:00,114
01.01.2022,15:30:00,110
01.01.2022,15:45:00,110.8
01.01.2022,16:00:00,110
01.01.2022,16:15:00,109.2
01.01.2022,16:30:00,112.4
01.01.2022,16:45:00,110
01.01.2022,17:00:00,109.6
01.01.2022,17:15:00,111.6
01.01.2022,17:30:00,112.4
01.01.2022,17:45:00,113.6
01.01.2022,18:00:00,109.6
01.01.2022,18:15:00,111.2
01.01.2022,18:30:00,108.8
01.01.2022,18:45:00,112.8
01.01.2022,19:00:00,108.8
01.01.2022,19:15:00,110
01.01.2022,19:30:00,108.4
01.01.2022,19:45:00,112.4
01.01.2022,20:00:00,110
01.01.2022,20:15:00,111.2
01.01.2022,20:30:00,112
01.01.2022,20:45:00,110
01.01.2022,21:00:00,106.8
01.01.2022,21:15:00,106.8
01.01.2022,21:30:00,107.2
01.01.2022,21:45:00,110
01.01.2022,22:00:00,107.2
01.01.2022,22:15:00,109.6
01.01.2022,22:30:00,110
01.01.2022,22:45:00,111.2
01.01.2022,23:00:00,111.6
01.01.2022,23:15:00,108.4
01.01.2022,23:30:00,108.8
01.01.2022,23:45:00,108.8
02.01.2022,00:00:00,108.8
02.01.2022,00:15:00,106.8
02.01.2022,00:30:00,108.8
02.01.2022,00:45:00,109.6
02.01.2022,01:00:00,111.6
02.01.2022,01:15:00,110.8
02.01.2022,01:30:00,110.4
02.01.2022,01:45:00,108.4
02.01.2022,02:00:00,108.4
02.01.2022,02:15:00,108.4
02.01.2022,02:30:00,110
02.01.2022,02:45:00,109.2
02.01.2022,03:00:00,110
02.01.2022,03:15:00,112.4
02.01.2022,03:30:00,112
02.01.2022,03:45:00,116.4
02.01.2022,04:00:00,122.8
02.01.2022,04:15:00,118.4
02.01.2022,04:30:00,121.6
02.01.2022,04:45:00,121.2
02.01.2022,05:00:00,120.8
02.01.2022,05:15:00,121.2
02.01.2022,05:30:00,123.6
02.01.2022,05:45:00,124.8
02.01.2022,06:00:00,115.2
02.01.2022,06:15:00,114
02.01.2022,06:30:00,113.2
02.01.2022,06:45:00,112
02.01.2022,07:00:00,114.8
02.01.2022,07:15:00,114.8
02.01.2022,07:30:00,113.6
02.01.2022,07:45:00,116
02.01.2022,08:00:00,116.8
02.01.2022,08:15:00,115.6
02.01.2022,08:30:00,115.6
02.01.2022,08:45:00,114
02.01.2022,09:00:00,112.8
02.01.2022,09:15:00,111.2
02.01.2022,09:30:00,111.6
02.01.2022,09:45:00,109.6
02.01.2022,10:00:00,110.4
02.01.2022,10:15:00,114.8
02.01.2022,10:30:00,114.4
02.01.2022,10:45:00,118.4
02.01.2022,11:00:00,122.4
02.01.2022,11:15:00,119.2
02.01.2022,11:30:00,116.4
02.01.2022,11:45:00,112
02.01.2022,12:00:00,109.2
02.01.2022,12:15:00,108.4
02.01.2022,12:30:00,109.6
02.01.2022,12:45:00,109.6
02.01.2022,13:00:00,112.4
02.01.2022,13:15:00,109.6
02.01.2022,13:30:00,111.2
02.01.2022,13:45:00,108.8
02.01.2022,14:00:00,111.2
02.01.2022,14:15:00,111.6
02.01.2022,14:30:00,110
02.01.2022,14:45:00,111.2
02.01.2022,15:00:00,111.2
02.01.2022,15:15:00,113.2
02.01.2022,15:30:00,111.6
02.01.2022,15:45:00,114.4
02.01.2022,16:00:00,113.6
02.01.2022,16:15:00,111.6
02.01.2022,16:30:00,114.8
02.01.2022,16:45:00,112.4
02.01.2022,17:00:00,115.2
02.01.2022,17:15:00,113.2
02.01.2022,17:30:00,113.2
02.01.2022,17:45:00,113.2
02.01.2022,18:00:00,113.6
02.01.2022,18:15:00,115.6
02.01.2022,18:30:00,116
02.01.2022,18:45:00,109.2
02.01.2022,19:00:00,109.2
02.01.2022,19:15:00,110.8
02.01.2022,19:30:00,110
02.01.2022,19:45:00,110.4
02.01.2022,20:00:00,112.8
02.01.2022,20:15:00,116
02.01.2022,20:30:00,117.6
02.01.2022,20:45:00,111.6
02.01.2022,21:00:00,110.8
02.01.2022,21:15:00,109.6
02.01.2022,21:30:00,112
02.01.2022,21:45:00,108.4
02.01.2022,22:00:00,111.2
02.01.2022,22:15:00,113.2
02.01.2022,22:30:00,114.4
02.01.2022,22:45:00,112
02.01.2022,23:00:00,111.6
02.01.2022,23:15:00,114
02.01.2022,23:30:00,113.2
02.01.2022,23:45:00,112.4
03.01.2022,00:00:00,111.2
03.01.2022,00:15:00,110.8
03.01.2022,00:30:00,109.6
03.01.2022,00:45:00,110.4
03.01.2022,01:00:00,113.6
03.01.2022,01:15:00,114.8
03.01.2022,01:30:00,112
03.01.2022,01:45:00,112.4
03.01.2022,02:00:00,113.2
03.01.2022,02:15:00,109.2
03.01.2022,02:30:00,109.2
03.01.2022,02:45:00,110.8
03.01.2022,03:00:00,112.4
03.01.2022,03:15:00,111.2
03.01.2022,03:30:00,112.8
03.01.2022,03:45:00,116.4
03.01.2022,04:00:00,123.6
03.01.2022,04:15:00,120.4
03.01.2022,04:30:00,122
03.01.2022,04:45:00,120.4
03.01.2022,05:00:00,121.2
03.01.2022,05:15:00,120
03.01.2022,05:30:00,126.4
03.01.2022,05:45:00,129.6
03.01.2022,06:00:00,126.8
03.01.2022,06:15:00,129.6
03.01.2022,06:30:00,145.2
03.01.2022,06:45:00,143.2
03.01.2022,07:00:00,176.8
03.01.2022,07:15:00,172.4
03.01.2022,07:30:00,178.4
03.01.2022,07:45:00,186.8
03.01.2022,08:00:00,195.6
03.01.2022,08:15:00,201.2
03.01.2022,08:30:00,215.2
03.01.2022,08:45:00,209.6
03.01.2022,09:00:00,194.8
03.01.2022,09:15:00,188.8
03.01.2022,09:30:00,194
03.01.2022,09:45:00,191.6
03.01.2022,10:00:00,194.4
03.01.2022,10:15:00,194.8
03.01.2022,10:30:00,193.2
03.01.2022,10:45:00,191.2
03.01.2022,11:00:00,191.2
03.01.2022,11:15:00,196.4
03.01.2022,11:30:00,182.4
03.01.2022,11:45:00,189.6
03.01.2022,12:00:00,182.8
03.01.2022,12:15:00,190.8
03.01.2022,12:30:00,192
03.01.2022,12:45:00,191.6
03.01.2022,13:00:00,190.4
03.01.2022,13:15:00,189.2
03.01.2022,13:30:00,181.6
03.01.2022,13:45:00,181.2
03.01.2022,14:00:00,180.4
03.01.2022,14:15:00,174.4
03.01.2022,14:30:00,177.6
03.01.2022,14:45:00,180
03.01.2022,15:00:00,175.6
03.01.2022,15:15:00,175.6
03.01.2022,15:30:00,178.4
03.01.2022,15:45:00,177.2
03.01.2022,16:00:00,180
03.01.2022,16:15:00,177.2
03.01.2022,16:30:00,179.6
03.01.2022,16:45:00,183.6
03.01.2022,17:00:00,185.2
03.01.2022,17:15:00,178.8
03.01.2022,17:30:00,152
03.01.2022,17:45:00,139.2
03.01.2022,18:00:00,137.6
03.01.2022,18:15:00,134.8
03.01.2022,18:30:00,132.4
03.01.2022,18:45:00,124.4
03.01.2022,19:00:00,119.6
03.01.2022,19:15:00,111.2
03.01.2022,19:30:00,109.6
03.01.2022,19:45:00,112
03.01.2022,20:00:00,112.4
03.01.2022,20:15:00,108.8
03.01.2022,20:30:00,114
03.01.2022,20:45:00,113.2
03.01.2022,21:00:00,110.8
03.01.2022,21:15:00,110.4
03.01.2022,21:30:00,111.2
03.01.2022,21:45:00,108.8
03.01.2022,22:00:00,107.6
03.01.2022,22:15:00,109.2
03.01.2022,22:30:00,107.2
03.01.2022,22:45:00,108
03.01.2022,23:00:00,110
03.01.2022,23:15:00,113.6
03.01.2022,23:30:00,111.6
03.01.2022,23:45:00,116.8
04.01.2022,00:00:00,112.8
04.01.2022,00:15:00,112
04.01.2022,00:30:00,110
04.01.2022,00:45:00,108.4
04.01.2022,01:00:00,108
04.01.2022,01:15:00,108.8
04.01.2022,01:30:00,112.4
04.01.2022,01:45:00,113.2
04.01.2022,02:00:00,112.8
04.01.2022,02:15:00,113.6
04.01.2022,02:30:00,111.6
04.01.2022,02:45:00,109.6
04.01.2022,03:00:00,108.4
04.01.2022,03:15:00,110.4
04.01.2022,03:30:00,108.8
04.01.2022,03:45:00,117.6
04.01.2022,04:00:00,122
04.01.2022,04:15:00,122.4
04.01.2022,04:30:00,122.4
04.01.2022,04:45:00,124.4
04.01.2022,05:00:00,121.2
04.01.2022,05:15:00,124.4
04.01.2022,05:30:00,123.6
04.01.2022,05:45:00,125.6
04.01.2022,06:00:00,121.6
04.01.2022,06:15:00,116.4
04.01.2022,06:30:00,133.6
04.01.2022,06:45:00,141.6
04.01.2022,07:00:00,159.6
04.01.2022,07:15:00,178.8
04.01.2022,07:30:00,168
04.01.2022,07:45:00,169.2
04.01.2022,08:00:00,178.8
04.01.2022,08:15:00,193.6
04.01.2022,08:30:00,193.6
04.01.2022,08:45:00,202
04.01.2022,09:00:00,198
04.01.2022,09:15:00,197.6
04.01.2022,09:30:00,196.8
04.01.2022,09:45:00,193.2
04.01.2022,10:00:00,189.6
04.01.2022,10:15:00,194.4
04.01.2022,10:30:00,188.4
04.01.2022,10:45:00,199.6
04.01.2022,11:00:00,200
04.01.2022,11:15:00,200.4
04.01.2022,11:30:00,198.8
04.01.2022,11:45:00,196
04.01.2022,12:00:00,192.4
04.01.2022,12:15:00,192
04.01.2022,12:30:00,190.4
04.01.2022,12:45:00,191.2
04.01.2022,13:00:00,192.8
04.01.2022,13:15:00,196.4
04.01.2022,13:30:00,201.2
04.01.2022,13:45:00,201.2
04.01.2022,14:00:00,195.6
04.01.2022,14:15:00,190
04.01.2022,14:30:00,188.4
04.01.2022,14:45:00,181.2
04.01.2022,15:00:00,177.6
04.01.2022,15:15:00,178
04.01.2022,15:30:00,174.8
04.01.2022,15:45:00,183.6
04.01.2022,16:00:00,187.6
04.01.2022,16:15:00,183.2
04.01.2022,16:30:00,188.8
04.01.2022,16:45:00,190.8
04.01.2022,17:00:00,200.4
04.01.2022,17:15:00,188.8
04.01.2022,17:30:00,156.8
04.01.2022,17:45:00,138.4
04.01.2022,18:00:00,135.2
04.01.2022,18:15:00,128.8
04.01.2022,18:30:00,132
04.01.2022,18:45:00,132
04.01.2022,19:00:00,127.2
04.01.2022,19:15:00,128.4
04.01.2022,19:30:00,122.8
04.01.2022,19:45:00,117.2
04.01.2022,20:00:00,117.2
04.01.2022,20:15:00,114
04.01.2022,20:30:00,115.2
04.01.2022,20:45:00,114.8
04.01.2022,21:00:00,116.4
04.01.2022,21:15:00,114.4
04.01.2022,21:30:00,116
04.01.2022,21:45:00,113.6
04.01.2022,22:00:00,115.2
04.01.2022,22:15:00,110.4
04.01.2022,22:30:00,114.4
04.01.2022,22:45:00,115.2
04.01.2022,23:00:00,112.8
04.01.2022,23:15:00,112.4
04.01.2022,23:30:00,115.2
04.01.2022,23:45:00,115.2
05.01.2022,00:00:00,114
05.01.2022,00:15:00,115.6
05.01.2022,00:30:00,115.6
05.01.2022,00:45:00,111.6
05.01.2022,01:00:00,115.2
05.01.2022,01:15:00,111.6
05.01.2022,01:30:00,114
05.01.2022,01:45:00,111.2
05.01.2022,02:00:00,117.6
05.01.2022,02:15:00,116
05.01.2022,02:30:00,116.4
05.01.2022,02:45:00,116.4
05.01.2022,03:00:00,114
05.01.2022,03:15:00,113.2
05.01.2022,03:30:00,112.4
05.01.2022,03:45:00,118.4
05.01.2022,04:00:00,123.2
05.01.2022,04:15:00,124
05.01.2022,04:30:00,126.4
05.01.2022,04:45:00,127.2
05.01.2022,05:00:00,127.6
05.01.2022,05:15:00,128.4
05.01.2022,05:30:00,128
05.01.2022,05:45:00,126.4
05.01.2022,06:00:00,120.4
05.01.2022,06:15:00,120.4
05.01.2022,06:30:00,134
05.01.2022,06:45:00,142.8
05.01.2022,07:00:00,162.4
05.01.2022,07:15:00,178.8
05.01.2022,07:30:00,175.6
05.01.2022,07:45:00,184.4
05.01.2022,08:00:00,189.6
05.01.2022,08:15:00,195.6
05.01.2022,08:30:00,198.4
05.01.2022,08:45:00,198.8
05.01.2022,09:00:00,200
05.01.2022,09:15:00,204.8
05.01.2022,09:30:00,200.8
05.01.2022,09:45:00,197.2
05.01.2022,10:00:00,209.6
05.01.2022,10:15:00,208.4
05.01.2022,10:30:00,195.6
05.01.2022,10:45:00,196.4
05.01.2022,11:00:00,196.4
05.01.2022,11:15:00,196
05.01.2022,11:30:00,196.4
05.01.2022,11:45:00,198.4
05.01.2022,12:00:00,193.2
05.01.2022,12:15:00,200.4
05.01.2022,12:30:00,198.4
05.01.2022,12:45:00,190.4
05.01.2022,13:00:00,193.2
05.01.2022,13:15:00,186.4
05.01.2022,13:30:00,191.2
05.01.2022,13:45:00,198
05.01.2022,14:00:00,192
05.01.2022,14:15:00,194.4
05.01.2022,14:30:00,194.4
05.01.2022,14:45:00,186.4
05.01.2022,15:00:00,198.4
05.01.2022,15:15:00,195.6
05.01.2022,15:30:00,185.6
05.01.2022,15:45:00,189.6
05.01.2022,16:00:00,182.4
05.01.2022,16:15:00,179.2
05.01.2022,16:30:00,179.2
05.01.2022,16:45:00,188.4
05.01.2022,17:00:00,194.8
05.01.2022,17:15:00,187.6
05.01.2022,17:30:00,150.8
05.01.2022,17:45:00,135.2
05.01.2022,18:00:00,132.4
05.01.2022,18:15:00,130.8
05.01.2022,18:30:00,128.4
05.01.2022,18:45:00,133.2
05.01.2022,19:00:00,122.4
05.01.2022,19:15:00,119.6
05.01.2022,19:30:00,118.8
05.01.2022,19:45:00,118.4
05.01.2022,20:00:00,116.4
05.01.2022,20:15:00,116
05.01.2022,20:30:00,117.2
05.01.2022,20:45:00,115.6
05.01.2022,21:00:00,114.8
05.01.2022,21:15:00,115.2
05.01.2022,21:30:00,113.6
05.01.2022,21:45:00,111.6
05.01.2022,22:00:00,110.8
05.01.2022,22:15:00,110.8
05.01.2022,22:30:00,116
05.01.2022,22:45:00,118
05.01.2022,23:00:00,116.4
05.01.2022,23:15:00,115.2
05.01.2022,23:30:00,113.6
05.01.2022,23:45:00,114.8
06.01.2022,00:00:00,112.8
06.01.2022,00:15:00,113.6
06.01.2022,00:30:00,110.4
06.01.2022,00:45:00,110.8
06.01.2022,01:00:00,111.2
06.01.2022,01:15:00,114
06.01.2022,01:30:00,114.8
06.01.2022,01:45:00,114
06.01.2022,02:00:00,113.6
06.01.2022,02:15:00,114
06.01.2022,02:30:00,116.4
06.01.2022,02:45:00,114.8
06.01.2022,03:00:00,114.4
06.01.2022,03:15:00,111.6
06.01.2022,03:30:00,110.8
06.01.2022,03:45:00,116.4
06.01.2022,04:00:00,122.4
06.01.2022,04:15:00,122.8
06.01.2022,04:30:00,124.4
06.01.2022,04:45:00,126.8
06.01.2022,05:00:00,125.2
06.01.2022,05:15:00,127.6
06.01.2022,05:30:00,127.2
06.01.2022,05:45:00,129.2
06.01.2022,06:00:00,117.2
06.01.2022,06:15:00,115.6
06.01.2022,06:30:00,119.6
06.01.2022,06:45:00,122
06.01.2022,07:00:00,142.4
06.01.2022,07:15:00,152
06.01.2022,07:30:00,154
06.01.2022,07:45:00,147.2
06.01.2022,08:00:00,147.2
06.01.2022,08:15:00,147.6
06.01.2022,08:30:00,150.4
06.01.2022,08:45:00,145.2
06.01.2022,09:00:00,144.8
06.01.2022,09:15:00,146
06.01.2022,09:30:00,145.6
06.01.2022,09:45:00,150.4
06.01.2022,10:00:00,148
06.01.2022,10:15:00,149.6
06.01.2022,10:30:00,148
